八一路	2020-01-15 00:00	畅通
人民路	2020-01-15 00:00	畅通
唐山街	2020-01-15 00:00	畅通
五惠路	2020-01-15 00:00	畅通
中山路	2020-01-15 00:00	畅通
胜利东路	2020-01-15 00:00	基本畅通
玉光街	2020-01-15 00:00	畅通
石葵路	2020-01-15 00:00	畅通
长江路	2020-01-15 00:00	畅通
昆明街	2020-01-15 00:00	畅通
友好路	2020-01-15 00:00	畅通
疏港路	2020-01-15 00:00	畅通
武汉街	2020-01-15 00:00	畅通
丹东街	2020-01-15 00:00	行驶缓慢
安阳街	2020-01-15 00:00	畅通
友好街	2020-01-15 00:00	畅通
杏林街	2020-01-15 00:00	畅通
民主街	2020-01-15 00:00	畅通
春德街	2020-01-15 00:00	畅通
上海路	2020-01-15 00:00	畅通
延安路	2020-01-15 00:00	畅通
同兴街	2020-01-15 00:00	畅通
白玉街	2020-01-15 00:00	畅通
解放街	2020-01-15 00:00	畅通
胜利广场	2020-01-15 00:00	畅通
世纪街	2020-01-15 00:00	畅通
解放路	2020-01-15 00:00	畅通
五五路	2020-01-15 00:00	畅通
育才街	2020-01-15 00:00	畅通
鲁迅路	2020-01-15 00:00	畅通
民生街	2020-01-15 00:00	基本畅通
新生街	2020-01-15 00:00	畅通
葵英街	2020-01-15 00:00	畅通
葵丰路	2020-01-15 00:00	畅通
港湾街	2020-01-15 00:00	畅通
大众街	2020-01-15 00:00	畅通
春华街	2020-01-15 00:00	畅通
山峦街	2020-01-15 00:00	畅通
中南路	2020-01-15 00:00	畅通
华乐街	2020-01-15 00:00	畅通
迎宾路	2020-01-15 00:00	畅通
虎滩路	2020-01-15 00:00	畅通
滨海东路	2020-01-15 00:00	畅通
文林街	2020-01-15 00:00	畅通
南山路	2020-01-15 00:00	畅通
朝阳街	2020-01-15 00:00	畅通
七七街	2020-01-15 00:00	畅通
长江东路	2020-01-15 00:00	畅通
新开路	2020-01-15 00:00	畅通
北京街	2020-01-15 00:00	畅通
联合路	2020-01-15 00:00	畅通
胜利路	2020-01-15 00:00	畅通
华北路	2020-01-15 00:00	畅通
唐山街	2020-01-15 00:00	畅通
通海街	2020-01-15 00:00	畅通
五四路	2020-01-15 00:00	畅通
鞍山路	2020-01-15 00:00	畅通
宏济街	2020-01-15 00:00	畅通
高尔基路	2020-01-15 00:00	畅通
同庆街	2020-01-15 00:00	畅通
英华街	2020-01-15 00:00	畅通
民权街	2020-01-15 00:00	畅通
珠江路	2020-01-15 00:00	畅通
疏港路	2020-01-15 00:00	畅通
五一路	2020-01-15 00:00	畅通
建设街	2020-01-15 00:00	基本畅通
兴业街	2020-01-15 00:00	畅通
上海路	2020-01-15 00:00	畅通
人民路	2020-01-15 00:00	畅通
正仁街	2020-01-15 00:00	畅通
西安路	2020-01-15 00:00	畅通
香周路	2020-01-15 00:00	畅通
中山路	2020-01-15 00:00	畅通
东联路	2020-01-15 00:00	畅通
胜利东路	2020-01-15 00:00	基本畅通
石葵路	2020-01-15 00:00	畅通
滨海西路	2020-01-15 00:00	畅通
菜市街	2020-01-15 00:00	畅通
五惠路	2020-01-15 00:00	畅通
胜利街	2020-01-15 00:00	基本畅通
大同街	2020-01-15 00:00	畅通
双兴街	2020-01-15 00:00	畅通
水仙街	2020-01-15 00:00	畅通
香一街	2020-01-15 00:00	畅通
北海街	2020-01-15 00:00	畅通
黄河路	2020-01-15 00:00	畅通
黄河街	2020-01-15 00:00	畅通
东北路	2020-01-15 00:00	畅通
纪念街	2020-01-15 00:00	畅通
长江路	2020-01-15 00:00	畅通
长春路	2020-01-15 00:00	畅通
福德街	2020-01-15 00:00	基本畅通
民政街	2020-01-15 00:00	畅通
太原街	2020-01-15 00:00	畅通
南沙街	2020-01-15 00:00	畅通
东北路	2020-01-15 00:00	畅通
珠江路	2020-01-15 00:00	畅通
黄河街	2020-01-15 00:00	畅通
泰山街	2020-01-15 00:00	畅通
正仁街	2020-01-15 00:00	畅通
长江路	2020-01-15 00:00	畅通
同泰街	2020-01-15 00:00	畅通
永平街	2020-01-15 00:00	畅通
长生街	2020-01-15 00:00	基本畅通
成仁街	2020-01-15 00:00	基本畅通
连胜街	2020-01-15 00:00	畅通
胜利路	2020-01-15 00:00	畅通
东联路	2020-01-15 00:00	畅通
西山街	2020-01-15 00:00	畅通
长兴街	2020-01-15 00:00	畅通
泉涌街	2020-01-15 00:00	畅通
中长东五街	2020-01-15 00:00	畅通
西部大通道	2020-01-15 00:00	畅通
香周路	2020-01-15 00:00	畅通
广平街	2020-01-15 00:00	畅通
中长街	2020-01-15 00:00	畅通
华北路	2020-01-15 00:00	畅通
万岁街	2020-01-15 00:00	基本畅通
五一路	2020-01-15 00:00	畅通
白山路	2020-01-15 00:00	畅通
星河街	2020-01-15 00:00	畅通
五四路	2020-01-15 00:00	畅通
沿河街	2020-01-15 00:00	畅通
会展路	2020-01-15 00:00	畅通
滨海西路	2020-01-15 00:00	畅通
盖州街	2020-01-15 00:00	畅通
连山街	2020-01-15 00:00	基本畅通
宏业街	2020-01-15 00:00	畅通
富民路	2020-01-15 00:00	畅通
星雨街	2020-01-15 00:00	畅通
新桥街	2020-01-15 00:00	畅通
中山路	2020-01-15 00:00	畅通
